Districts,Location,Company Name,Company Type,Machine Type,Product Type,Block Type,Company Category,Company Size,Contact,Website,Map,Status,has_website,has_contact,is_eco,is_operational,modernization_score,size_score,is_high_risk,competitor_tier
Nirmal,"near Mujhegi, Mujgi, Nirmal, Venkatapur Rural, Telangana 504106, India",VBI BRICKS,Manufacturing,Unknown,Unknown,Unknown,Unknown,Unknown,9000974720,,https://maps.app.goo.gl/eSYQvTQ9unBJJeNq8,Permanently Closed,False,True,False,False,0,0,False,Tier 4 — Unknown
Nizamabad,"beside tirumala nursing college, Nizamabad, Telangana 503230, India",NRI BRICK'S,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,8328482915,https://nribricks30.wixsite.com/nribricks,Unknown,Running,True,True,False,True,1,3,True,Tier 3 — Hand Made
Nizamabad,"Nehru Nagar, Nizamabad, Telangana 503186, India",NATIONAL CEMENT BRICKS,Manufacturing,Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9849064288,,https://maps.app.goo.gl/vct4AjUFJHKr6S226,Running,False,True,True,True,3,3,False,Tier 1 — Fully Automatic
Nizamabad,"Borgaon, Vinayak Nagar, Nizamabad, Telangana 503003, India",Sri lakshmi cement bricks,Manufacturing,Unknown,Unknown,Unknown,Unknown,Unknown,,,https://maps.app.goo.gl/Mu5rZRGqdwhLkcJ77,Permanently Closed,False,False,False,False,0,0,False,Tier 4 — Unknown
Jagtial,"Medipally outskirts, opp. Oil mill, Jagtial, Telangana 505453, India",VSR Bricks Jagtial No 1,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,7585838444,,https://maps.app.goo.gl/t2ZJxj2gDMiNhbwz6,Running,False,True,False,True,1,3,True,Tier 3 — Hand Made
Jagtial,"Gollapally Rd, Jagtial, Thimmapur, Telangana 505455, India",SRR CEMENT BRICKS JAGTIAL,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9030444994,,https://maps.app.goo.gl/1RWm7QgSa5m7kNva9,Running,False,True,True,True,2,2,False,Tier 2 — Semi Automatic
Jagtial,"Jagtial - Karimnagar Rd, Mallial, Jagtial, Telangana 505501, India",Fbc Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,,,https://maps.app.goo.gl/u3v6WoAEHLvCuyGf6,Running,False,False,False,True,1,2,True,Tier 3 — Hand Made
Jagtial,"Jagtial, Telangana 505455, India",BDI BRICKS,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,,,https://maps.app.goo.gl/sv2bhnoPjr6bcGSj6,Running,False,False,True,True,1,1,False,Tier 3 — Hand Made
Jagtial,"4-4-289/1, Jagtial, Telangana 505327, India",MKS cement works jagtial,Manufacturing,Hand Made,Fly Ash Brick,"Fly Ash Block, Pavers",Fly Ash Brick Plant,Moderate,,,https://maps.app.goo.gl/5bMbwuTZy535PUFY9,Running,False,False,True,True,1,2,False,Tier 3 — Hand Made
Jagtial,"Gollapally Rd, beside Bandari gardens, Jagtial, Thimmapur, Telangana 505455, India",Sri Raja Rajeshwara Fly-ash cement bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,9704871688,,https://maps.app.goo.gl/1LVWfo8fyncFx2gU7,Running,False,True,True,True,1,1,False,Tier 3 — Hand Made
Jagtial,"Mallial Road, kamaan, behind Mallial, Manala, Telangana 505452, India",SRR Bricks and Constructions,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/Kv9g2bKQXmdGsK4r9,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Jagtial,"Jagtial, Telangana 505529, India",Sri Rama Cement Bricks,Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Small,,,https://maps.app.goo.gl/sJasijWASJJHvVS86,Running,False,False,True,True,1,1,False,Tier 3 — Hand Made
Jagtial,"Gollapally Rd, Krishnanagar, Jagtial, Telangana 505327, India",Nithya cement bricks company,Manufacturing,Unknown,Unknown,Unknown,Traditional Clay Factory,Unknown,,,https://maps.app.goo.gl/weBosbyPxkZnz3qQA,Permanently Closed,False,False,False,False,0,0,False,Tier 4 — Unknown
